IDs	original.IDs	studies	DB.IDs	PubChem.CIDs	preferred.drug.names	collections	Santi.MoAs	main.MoAs	collapsed.MoAs
sig-21059	K09951645	CTRP	DB08912	44462760	DABRAFENIB	SSc	BRAF inhibitor	Multi-kinase inhibitor	BRAF inhibitor
sig-21060	K09951645	PRISM	DB08912	44462760	DABRAFENIB	SSc	BRAF inhibitor	Multi-kinase inhibitor	BRAF inhibitor
sig-20909	1373	GDSC	DB08912	44462760	DABRAFENIB	SSc	ERK MAPK signaling	Multi-kinase inhibitor	BRAF inhibitor
sig-21154	K35520305	CTRP	DB00851	135398738	DACARBAZINE	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-21224	K56957086	PRISM	NA	6445533	DACINOSTAT	SSc	HDAC inhibitor	Chromatin agent	Chromatin agent
sig-21227	K57169635	PRISM	DB11963	11511120	DACOMITINIB	SSc	NA	ErbB inhibitor	EGFR inhibitor
sig-20949	1911	GDSC	DB00970	457193	DACTINOMYCIN	SSc	Other	Transcription inhibitor	Transcription inhibitor
sig-20892	1057	GDSC	DB11651	11977753	DACTOLISIB	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21050	K07881437	PRISM	DB11778	11442891	DANUSERTIB	SSc	Aurora kinases inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21231	K58550667	CTRP	DB12731	6914657	DAPORINAD	SSc	inhibitor of nicotinamide phosphoribosyltransferase	NAMPT inhibitor	NAMPT inhibitor
sig-20905	1248	GDSC	DB12731	6914657	DAPORINAD	SSc	Other	NAMPT inhibitor	NAMPT inhibitor
sig-21194	K49328571	PRISM	DB01254	3062316	DASATINIB	SSc	NA	Multi-kinase inhibitor	BCR-ABL inhibitor;SRC inhibitor
sig-20896	1079	GDSC	DB01254	3062316	DASATINIB	SSc	Other	Multi-kinase inhibitor	BCR-ABL inhibitor;SRC inhibitor
sig-21193	K49328571	CTRP	DB01254	3062316	DASATINIB	SSc	SRC inhibitor	Multi-kinase inhibitor	BCR-ABL inhibitor;SRC inhibitor
sig-21177	K43389675	PRISM	DB00694	30323	DAUNORUBICIN	SSc	Other	DNA replication inhibitor	DNA related agent
sig-21341	K79254416	CTRP	DB01262	451668	DECITABINE	SSc	DNA related agent	DNA methyltransferase inhibitor	DNA related agent
sig-21342	K79254416	PRISM	DB01262	451668	DECITABINE	SSc	DNA related agent	DNA methyltransferase inhibitor	DNA related agent
sig-21446	M60251345	CTRP	NA	NA	DECITABINE:CARBOPLATIN (1:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21438	M43399311	CTRP	NA	NA	DECITABINE:NAVITOCLAX (2:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
